stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2814,P00330,Rúa do Arquitecto Antonio Cominges  90,Parada,42.187213168806,-8.81306920086325,,,,,Europe/Madrid,1
2808,P00270,Rúa de Desiderio Pernas Arquitecto  1,Parada,42.1892015098447,-8.81034086170158,,,,,Europe/Madrid,1
2810,P00290,Rúa do Arquitecto Gómez Román  37,Parada,42.1901494713961,-8.80378822507819,,,,,Europe/Madrid,1
2997,P002140,Avda. de Samil (Verbum),Parada,42.2132322098528,-8.77438241463199,,,,,Europe/Madrid,1
2999,P002160,Avda. de Samil  15,Parada,42.2158607962027,-8.77472014420962,,,,,Europe/Madrid,1
3792,P0014171,Avda. de Samil (fronte Praia da Punta) ,Parada,42.218844713451,-8.77545922149395,,,,,Europe/Madrid,1
2998,P002150,Avda. de Samil (fronte Praia da Fonte),Parada,42.2214164979684,-8.77372415328131,,,,,Europe/Madrid,1
2882,P00990,Avda. da Atlántida (fronte 148),Parada,42.2224513661935,-8.76913489365683,,,,,Europe/Madrid,1
2883,P001000,Avda. da Atlántida  109,Parada,42.2212205079821,-8.76719446770401,,,,,Europe/Madrid,1
2881,P00980,Avda. da Atlántida  99,Parada,42.2211700873495,-8.76365697704177,,,,,Europe/Madrid,1
2888,P001050,Avda. da Atlántida  71,Parada,42.2218753541928,-8.7609353806983,,,,,Europe/Madrid,1
3889,P0014268,Avda. da Atlántida  49,Parada,42.2217319452619,-8.75841717467048,,,,,Europe/Madrid,1
2886,P001030,Avda. da Atlántida  25,Parada,42.2232196769264,-8.75475327715614,,,,,Europe/Madrid,1
3795,P0014174,Rúa do Padre Seixas (Parque da Bouza),Parada,42.2118445159088,-8.74928792068781,,,,,Europe/Madrid,1
3496,P006955,Praza de España (cruce Rúa de Fernando Conde),Parada,42.2294383772222,-8.71978110824407,,,,,Europe/Madrid,1
3956,P0014336,Rúa das Teixugueiras  8 ,Parada,42.2144762599214,-8.75600551008591,,,,,Europe/Madrid,1
2941,P001580,Avda. da Ponte  54,Parada,42.2183935866613,-8.66948010587811,,,,,Europe/Madrid,1
2934,P001510,Avda. da Ponte  80,Parada,42.2152033653466,-8.67041619682431,,,,,Europe/Madrid,1
3131,P003430,Avda. da Ponte  86 (Cemiterio),Parada,42.2156212061988,-8.67221512001043,,,,,Europe/Madrid,1
3731,P0014108,Avda. da Ponte (antes desvío Autovía),Parada,42.2140174104929,-8.67133083009838,,,,,Europe/Madrid,1
