route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
R_SOTRACO_1,DAILY,R_SOTRACO_1_12924045,Ecole Wend Puiré,0,SHAPE_12924045
R_SOTRACO_3,DAILY,R_SOTRACO_3_12924266,Eglise AD fouraim,0,SHAPE_12924266
R_SOTRACO_3,DAILY,R_SOTRACO_3_12924493,pied à terre,1,SHAPE_12924493
R_SOTRACO_2,DAILY,R_SOTRACO_2_12924725,ENEP,0,SHAPE_12924725
R_SOTRACO_2,DAILY,R_SOTRACO_2_12924775,Camp militaire,1,SHAPE_12924775
R_SOTRACO_LSE1,DAILY,R_SOTRACO_LSE1_12924814,Place de la Nation,0,SHAPE_12924814
R_SOTRACO_LSE1,DAILY,R_SOTRACO_LSE1_12924928,Université,1,SHAPE_12924928
R_SOTRACO_LSE2,DAILY,R_SOTRACO_LSE2_12931425,ENEP,0,SHAPE_12931425
R_SOTRACO_LSE2,DAILY,R_SOTRACO_LSE2_12931491,Gouvernorat,1,SHAPE_12931491
